2018-06-05 18:20:00 status half-configured gnupg1:amd64 1.4.21-4
2018-06-05 18:20:00 status half-installed gnupg1:amd64 1.4.21-4
2018-06-05 18:20:00 status config-files gnupg1:amd64 1.4.21-4
2018-06-05 18:20:00 status config-files gnupg1:amd64 1.4.21-4
2018-06-05 18:20:00 status config-files gnupg1:amd64 1.4.21-4
2018-06-05 18:20:00 status not-installed gnupg1:amd64 <none>
2018-06-05 18:20:00 status installed libreadline7:amd64 7.0-3
2018-06-05 18:20:00 remove libreadline7:amd64 7.0-3 <none>
2018-06-05 18:20:00 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-06-05 18:20:00 status half-configured libreadline7:amd64 7.0-3
2018-06-05 18:20:00 status half-installed libreadline7:amd64 7.0-3
2018-06-05 18:20:00 status config-files libreadline7:amd64 7.0-3
2018-06-05 18:20:00 status config-files libreadline7:amd64 7.0-3
2018-06-05 18:20:00 status config-files libreadline7:amd64 7.0-3
2018-06-05 18:20:00 status not-installed libreadline7:amd64 <none>
2018-06-05 18:20:00 status installed readline-common:all 7.0-3
2018-06-05 18:20:00 remove readline-common:all 7.0-3 <none>
2018-06-05 18:20:00 status half-configured readline-common:all 7.0-3
2018-06-05 18:20:00 status half-installed readline-common:all 7.0-3
2018-06-05 18:20:00 status config-files readline-common:all 7.0-3
2018-06-05 18:20:00 status config-files readline-common:all 7.0-3
2018-06-05 18:20:00 startup packages configure
2018-06-05 18:20:00 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-06-05 18:20:00 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-06-05 18:20:00 status installed libc-bin:amd64 2.24-11+deb9u3
2018-06-05 18:20:00 startup packages purge
2018-06-05 18:20:00 purge readline-common:all 7.0-3 <none>
2018-06-05 18:20:00 status config-files readline-common:all 7.0-3
2018-06-05 18:20:00 status config-files readline-common:all 7.0-3
2018-06-05 18:20:00 status config-files readline-common:all 7.0-3
2018-06-05 18:20:00 status config-files readline-common:all 7.0-3
2018-06-05 18:20:00 status config-files readline-common:all 7.0-3
2018-06-05 18:20:00 status not-installed readline-common:all <none>
2018-06-05 18:20:00 startup packages configure
2018-06-05 18:20:06 startup archives unpack
2018-06-05 18:20:06 install libxau6:amd64 <none> 1:1.0.8-1
2018-06-05 18:20:06 status half-installed libxau6:amd64 1:1.0.8-1
2018-06-05 18:20:06 status unpacked libxau6:amd64 1:1.0.8-1
2018-06-05 18:20:06 status unpacked libxau6:amd64 1:1.0.8-1
2018-06-05 18:20:06 install gettext-base:amd64 <none> 0.19.8.1-2
2018-06-05 18:20:06 status half-installed gettext-base:amd64 0.19.8.1-2
2018-06-05 18:20:06 status unpacked gettext-base:amd64 0.19.8.1-2
2018-06-05 18:20:06 status unpacked gettext-base:amd64 0.19.8.1-2
2018-06-05 18:20:06 install libbsd0:amd64 <none> 0.8.3-1
2018-06-05 18:20:06 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-06-05 18:20:06 status half-installed libbsd0:amd64 0.8.3-1
2018-06-05 18:20:06 status unpacked libbsd0:amd64 0.8.3-1
2018-06-05 18:20:06 status unpacked libbsd0:amd64 0.8.3-1
2018-06-05 18:20:06 install libncurses5:amd64 <none> 6.0+20161126-1+deb9u2
2018-06-05 18:20:06 status half-installed libncurses5:amd64 6.0+20161126-1+deb9u2
2018-06-05 18:20:06 status unpacked libncurses5:amd64 6.0+20161126-1+deb9u2
2018-06-05 18:20:06 status unpacked libncurses5:amd64 6.0+20161126-1+deb9u2
2018-06-05 18:20:06 install libedit2:amd64 <none> 3.1-20160903-3
2018-06-05 18:20:06 status half-installed libedit2:amd64 3.1-20160903-3
2018-06-05 18:20:06 status unpacked libedit2:amd64 3.1-20160903-3
2018-06-05 18:20:06 status unpacked libedit2:amd64 3.1-20160903-3
2018-06-05 18:20:06 install libicu57:amd64 <none> 57.1-6+deb9u2
2018-06-05 18:20:06 status half-installed libicu57:amd64 57.1-6+deb9u2
2018-06-05 18:20:07 status unpacked libicu57:amd64 57.1-6+deb9u2
2018-06-05 18:20:07 status unpacked libicu57:amd64 57.1-6+deb9u2
2018-06-05 18:20:07 install libxml2:amd64 <none> 2.9.4+dfsg1-2.2+deb9u2
2018-06-05 18:20:07 status half-installed libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2018-06-05 18:20:07 status unpacked libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2018-06-05 18:20:07 status unpacked libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2018-06-05 18:20:07 install ucf:all <none> 3.0036
2018-06-05 18:20:07 status half-installed ucf:all 3.0036
2018-06-05 18:20:07 status unpacked ucf:all 3.0036
2018-06-05 18:20:07 status unpacked ucf:all 3.0036
2018-06-05 18:20:07 install fonts-dejavu-core:all <none> 2.37-1
2018-06-05 18:20:07 status half-installed fonts-dejavu-core:all 2.37-1
2018-06-05 18:20:07 status unpacked fonts-dejavu-core:all 2.37-1
2018-06-05 18:20:07 status unpacked fonts-dejavu-core:all 2.37-1
2018-06-05 18:20:07 install fontconfig-config:all <none> 2.11.0-6.7
